	EnsID	HS135logFC	HS135PValue
0	ENSMUSG00000013622	-0.322366504503169	0.356313088752943
1	ENSMUSG00000053094	0.239798228828107	0.44962512282152
2	ENSMUSG00000021470	-2.44481359684937	5.66598062390168e-05
3	ENSMUSG00000021252	-0.092748015532486	0.812634910021749
4	ENSMUSG00000015126	0.880210890332864	0.0154421015511533
5	ENSMUSG00000007777	-0.629398197176253	0.245789011761262
6	ENSMUSG00000037361	-0.587658060447504	0.302767871252037
7	ENSMUSG00000024442	0.50141050242377	0.133431587046964
8	ENSMUSG00000042208	-0.71336925921295	0.196643506073508
9	ENSMUSG00000020831	0.0640902648375934	0.84421962763496
10	ENSMUSG00000027628	0.150860682445699	0.638084340804017
11	ENSMUSG00000107002	-0.251487271751816	0.40568067325622
12	ENSMUSG00000058706	0.397031381936041	0.236370850393288
13	ENSMUSG00000001418	0.449921899977244	0.117166932246772
14	ENSMUSG00000028608	-0.39547443041324	0.212260626007808
15	ENSMUSG00000022677	-0.613234795873663	0.0708381392719308
16	ENSMUSG00000097882	-0.0639678020973205	0.92799541164977
17	ENSMUSG00000024668	-0.435108943177308	0.231055657541699
18	ENSMUSG00000050552	-0.0186723341177842	0.95648495768675
19	ENSMUSG00000044408	-0.737294511846854	0.0299406547403644
20	ENSMUSG00000037822	0.786520068273559	0.033094584622084
21	ENSMUSG00000022972	0.715680955898388	0.0620880866955643
22	ENSMUSG00000030663	-0.420831074519309	0.149030909517907
23	ENSMUSG00000090266	0.502644122503128	0.206223463713893
24	ENSMUSG00000107121	0.968417051534712	0.0225629784108472
25	ENSMUSG00000048170	-0.481773081251897	0.113270697941306
26	ENSMUSG00000037960	0.817610556196026	0.0210639382373468
27	ENSMUSG00000025858	-0.480239042410647	0.122478326307699
28	ENSMUSG00000027637	-1.05664683486307	0.00109485276124388
29	ENSMUSG00000029600	0.765565534120458	0.0446431536031171
30	ENSMUSG00000021023	-1.29659101383783	0.00753228411489105
31	ENSMUSG00000039195	0.43756657508033	0.256917036064759
32	ENSMUSG00000052105	0.914023219290314	0.00593885340587798
33	ENSMUSG00000045237	-1.04353357568502	0.0250653824686271
34	ENSMUSG00000024797	0.139183088305913	0.680762579986766
35	ENSMUSG00000042350	-0.622181220757056	0.0947182399083157
36	ENSMUSG00000021482	-0.321912593714624	0.418608020469815
37	ENSMUSG00000097047	-0.48299726395625	0.524488723077705
38	ENSMUSG00000022253	-0.321113166762983	0.367178846896272
39	ENSMUSG00000059534	-1.19383321214874	0.000351393472635697
40	ENSMUSG00000024018	-0.177732186742657	0.629674071433677
41	ENSMUSG00000037455	0.0554762985002397	0.894609676842333
42	ENSMUSG00000026004	-0.370992431838668	0.487277863508272
43	ENSMUSG00000037971	-0.974495199466742	0.0779353157133641
44	ENSMUSG00000024570	0.345625630579641	0.366139461160833
45	ENSMUSG00000027955	-0.457795597863089	0.143600433659656
46	ENSMUSG00000020973	0.463458076017496	0.161556667709527
47	ENSMUSG00000048495	-0.137193667955669	0.760471771033178
48	ENSMUSG00000006931	-0.0683743499083969	0.835243338741986
49	ENSMUSG00000040720	-0.234003164958212	0.462866464175091
50	ENSMUSG00000092203	0.396698070227123	0.228347957671441
51	ENSMUSG00000033416	-0.405408734050755	0.23997373889564
52	ENSMUSG00000063236	0.572678298011947	0.130853317381399
53	ENSMUSG00000028669	-0.587809585528888	0.0791118018569556
54	ENSMUSG00000040591	-0.136472129879177	0.677929273527203
55	ENSMUSG00000038544	0.21159703363257	0.506546144596224
56	ENSMUSG00000037669	-0.458902390315296	0.209003213656161
57	ENSMUSG00000026154	-1.01483159804618	0.0349188523030117
58	ENSMUSG00000035171	-1.63328022671076	0.000354955931555689
59	ENSMUSG00000032551	-0.345462979020123	0.444954246936556
60	ENSMUSG00000042363	-0.249420241226737	0.532886192479939
61	ENSMUSG00000022018	0.516763748437654	0.225870415876661
62	ENSMUSG00000045414	0.0414557593814852	0.919927104512418
63	ENSMUSG00000053286	1.62589323450134	3.61566201834949e-07
64	ENSMUSG00000043687	-1.19005450614605	0.00846961777186696
65	ENSMUSG00000063320	0.274405978372535	0.493237212150854
66	ENSMUSG00000005078	-0.895692094762046	0.142481091064789
67	ENSMUSG00000019975	-0.407068239465736	0.358919661901128
68	ENSMUSG00000022008	-0.231982021470439	0.538833078000469
69	ENSMUSG00000020495	0.34219183638773	0.311129498875807
70	ENSMUSG00000020783	-0.910609791054945	0.012976821406697
71	ENSMUSG00000021671	-1.48266358785172	9.16392104178494e-05
72	ENSMUSG00000052748	1.19726811942643	0.00839230478389463
73	ENSMUSG00000020741	-0.543715556787275	0.0808290700207989
74	ENSMUSG00000071266	0.162394241148841	0.724854521693949
75	ENSMUSG00000058997	0.996502232788979	0.0116918184741961
76	ENSMUSG00000021411	-0.19937081891321	0.605232382768539
77	ENSMUSG00000024019	-0.219009211200735	0.451455015648095
78	ENSMUSG00000001062	0.74449021695566	0.0542480036480142
79	ENSMUSG00000035757	-0.526374225214419	0.143903534424792
80	ENSMUSG00000063919	0.330593096912635	0.393550852381048
81	ENSMUSG00000030316	-0.634524770892805	0.117152427073042
82	ENSMUSG00000002210	0.102313303333985	0.75985481813532
83	ENSMUSG00000014077	-0.548384466420986	0.0993293501925408
84	ENSMUSG00000020898	-0.0423274002562084	0.888171983833
85	ENSMUSG00000072694	0.210936159117349	0.593825573893258
86	ENSMUSG00000029463	-1.49207309708868	0.000690781617516084
87	ENSMUSG00000051319	-0.171976567845624	0.643301149695905
88	ENSMUSG00000074578	-0.343518635810618	0.331970852542894
89	ENSMUSG00000035790	-0.148383273965203	0.721469030162129
90	ENSMUSG00000022452	0.21501799032908	0.505414825817108
91	ENSMUSG00000002031	-0.480062955390135	0.139983544491615
92	ENSMUSG00000005150	0.0497680389250242	0.89337657332774
93	ENSMUSG00000024118	0.46126492547292	0.174449989028314
94	ENSMUSG00000075054	0.169820951325559	0.618221356027117
95	ENSMUSG00000050088	0.0279467343903957	0.934405126131421
96	ENSMUSG00000051065	-0.00447793072809484	0.990504830177143
97	ENSMUSG00000027569	-0.312944072148201	0.387112258970422
98	ENSMUSG00000101225	-0.053240691651188	0.920118302119772
99	ENSMUSG00000023873	0.361404309574973	0.423493580894646
100	ENSMUSG00000031509	0.700979287463474	0.15414166526307
101	ENSMUSG00000032300	0.668151970072538	0.0479332919346767
102	ENSMUSG00000007867	0.140837065876335	0.694625531375826
103	ENSMUSG00000085438	-0.0112537376838885	0.978402949954944
104	ENSMUSG00000021254	0.219002466709992	0.519604098847455
105	ENSMUSG00000019797	0.372535916481789	0.297565309617699
106	ENSMUSG00000035629	0.854314948227278	0.00329940938059714
107	ENSMUSG00000036214	-1.711944097578	0.0211932770785125
108	ENSMUSG00000078612	-0.310057866131332	0.494793623046345
109	ENSMUSG00000032666	-0.348089537294435	0.331792344781299
110	ENSMUSG00000051736	-1.54950139884749	0.0106740734758125
111	ENSMUSG00000026049	-1.32061906331248	0.00387178960388822
112	ENSMUSG00000073758	-0.084061332396822	0.915796731110641
114	ENSMUSG00000024645	-0.450130548021468	0.511601244414451
115	ENSMUSG00000027327	0.269364907505086	0.475268416004188
116	ENSMUSG00000030008	0.0852073306797012	0.805499190909167
117	ENSMUSG00000070709	-0.446841506589209	0.435933153619804
118	ENSMUSG00000061759	-0.269925392196566	0.414841081940743
119	ENSMUSG00000031971	-0.25213086655208	0.507826878656948
120	ENSMUSG00000018412	0.530480422455616	0.0967925956504974
121	ENSMUSG00000097080	0.291100533702	0.470624638890181
122	ENSMUSG00000118506	-0.44533511583566	0.380622179735806
123	ENSMUSG00000071037	0.284353534328753	0.475667271540086
124	ENSMUSG00000097487	-0.282023324290185	0.45400608538799
125	ENSMUSG00000040822	-0.904974549084707	0.0455442627430943
126	ENSMUSG00000036372	-0.963910955441157	0.0275041530034361
127	ENSMUSG00000022974	0.534007372493025	0.0984817028550433
128	ENSMUSG00000032977	0.615771459820189	0.060442636926442
129	ENSMUSG00000071653	0.533250119020318	0.153216797403528
130	ENSMUSG00000056313	1.05054991508229	0.0176673803393596
131	ENSMUSG00000072640	-0.282542601838695	0.447463339571035
132	ENSMUSG00000061461	-0.819489010419346	0.0443112906820222
133	ENSMUSG00000022507	0.463477363935024	0.152748948768298
134	ENSMUSG00000097412	-0.501431303065979	0.205192033681765
135	ENSMUSG00000025466	0.271418385119591	0.489583293215142
136	ENSMUSG00000035642	0.0510312086802658	0.901554881668375
137	ENSMUSG00000078784	-2.71725764448927	3.29878462358903e-05
138	ENSMUSG00000048429	-0.251924709655162	0.451754310215659
139	ENSMUSG00000070394	0.0960123479331676	0.783627185836277
140	ENSMUSG00000025591	0.207373810200049	0.548289891610283
141	ENSMUSG00000028295	0.155572861019295	0.786037750145006
142	ENSMUSG00000044148	0.171903465307239	0.600015137370045
143	ENSMUSG00000033159	1.464364515664	1.33531473284921e-05
144	ENSMUSG00000020812	0.264311246872577	0.511322684919575
145	ENSMUSG00000021040	-0.965680362591302	0.160612936097235
146	ENSMUSG00000054091	0.379521951985838	0.276756771156866
147	ENSMUSG00000020284	0.799760315771539	0.0243653247370953
148	ENSMUSG00000078572	-0.200722503217814	0.585877894358672
149	ENSMUSG00000002580	0.921862980894461	0.00832682653839561
150	ENSMUSG00000034501	-0.140506452077942	0.684484192181704
151	ENSMUSG00000035372	0.605578883690719	0.0499264655317299
152	ENSMUSG00000073155	-0.334110567588807	0.273685325286996
153	ENSMUSG00000051671	-0.0962774728764301	0.80736020620946
154	ENSMUSG00000045107	-0.423557200758851	0.247845085580552
155	ENSMUSG00000090925	-1.9884454437994	0.000312127256269385
156	ENSMUSG00000040359	-0.805008229129405	0.0393813048357361
157	ENSMUSG00000038059	-0.540142901009492	0.168051226813376
158	ENSMUSG00000049680	0.119468908042291	0.705526479684614
159	ENSMUSG00000029725	0.311917551333864	0.435733870189764
160	ENSMUSG00000027495	0.283747158775865	0.447974480665095
161	ENSMUSG00000062376	-1.09665777443621	0.00261655701590195
162	ENSMUSG00000078490	0.23116954552615	0.618833644284756
163	ENSMUSG00000027366	0.0581769801016593	0.866985952610885
164	ENSMUSG00000021290	-1.97131542611135	0.00375862917850148
